岗位,命中关键词,地点,发布时间,URL,JD
蚂蚁数字科技-数字科技线-商业产品经理（ZOLOZ）,AI,北京 / 杭州,2026-07-15T06:52:17.000+00:00,https://talent.antgroup.com/off-campus-position/26012608540506,"1. 负责蚂蚁安全科技商业化产品的设计、规划和实施工作，协调内外部资源，驱动项目进度和落地；
2. 分析市场需求和竞争情况，找到客户痛点，设计商业模式，确定产品定价，提升产品的用户体验，对产品的市场竞争力负责；
3. 产品交互、视觉设计，产品功能优化和迭代，及合作伙伴沟通和管理等具体工作；
4. 与商务和技术团队合作，进行合理的业务抽象和产品设计，并推动产品的通用化建设。
1. 5年及以上互联网产品经理工作经验，或AI/金融/风控/产品工作经验，有商业化产品经验更优；
2.了解企业安全和AI行业，对行业和市场的发展有自己的思考；
3. 具备较强的跨部门的能力与团队协调能力，善于团队合作，促进团队内外统一目标，推动产品落地；
4. 专业的项目管理能力和时间管理能力，能够多事务并发处理，善于使用AI工具，确保产品高效落地，并拿到预期结果；
5. 需要具备流利的英语沟通和写作能力。"
蚂蚁集团-企业助手B端产品经理-芝麻企业信用,AI、Agent,上海 / 杭州,2026-07-15T02:05:34.000+00:00,https://talent.antgroup.com/off-campus-position/26010908319892,"芝麻企业信用正在构建面向生态合作伙伴的智能体服务，致力于通过AI驱动的智能体能力，赋能SaaS合作伙伴提升企业服务能力。目前平台已推出“标讯智能体”、“拓客智能体”等核心产品，覆盖招投标信息洞察、客户发现与商机推荐等关键场景。
我们现诚邀一位具备SaaS产品经验、AI理解力强、用户洞察敏锐的产品负责人（PD）加入，负责企业助手生态服务战场的产品战略规划与落地，深度挖掘生态合作伙伴需求，推动AI智能体与SaaS产品的融合交付，打造行业领先的智能生态解决方案。
核心职责
1、用户需求挖掘：运用 FED 模式等方法论，深入洞察生态伙伴在 toB 服务场景下的痛点，持续挖掘并验证高价值产品需求；
2、智能体产品规划： 负责各类场景智能体产品的功能迭代与体验优化，设计符合企业级用户需求的AI原生解决方案；
3、生态方案融合： 深度对接合作伙伴SaaS产品体系，将智能体能力与第三方服务无缝集成，打造可规模化交付的联合解决方案；
4、全链路交付： 协同技术、设计、运营团队，推动产品从需求定义、方案设计到上线推广的全流程落地，对生态合作伙伴的采用率和满意度负责。
1、本科及以上学历，计算机、数据科学等相关专业背景优先，3年以上互联网产品经理工作经验，具备完整的产品生命周期管理经验；
2、熟悉SaaS产品逻辑，有企业级服务产品经验者优先对AI技术有深入理解和实践热情，具备AI产品落地经验或强技术动手能力；
3、优秀的用户洞察能力，能熟练运用FED等需求分析框架出色的跨团队沟通与项目管理能力，能推动复杂生态合作落地。

加分项：
1、加分项有智能体（Agent）、RPA、CRM或营销科技产品设计经验；
2、参与过开放平台、生态合作项目并取得可量化成果；
3、具备基础技术能力，能使用AI工具进行快速原型验证。"
蚂蚁数字科技-数字科技线-ZAN SaaS 产品经理(Web3 + AI 方向),AI、Agent,北京,2026-07-14T09:29:42.000+00:00,https://talent.antgroup.com/off-campus-position/260624010615585,"1. 负责海外 ZAN SaaS 产品从需求洞察、路线图规划到上线交付与持续迭代；
2. 设计产品的商业化模式:定价与套餐、计费与配额、试用与转化路径,持续优化付费转化与留存；
3. 与市场、BD、运营、合作伙伴协同,制定并落地产品 GTM 策略,把握海外开发者 / 企业客户的获取与增长；
4. 持续监控用户反馈与核心产品指标(转化、留存、ARR、活跃等),识别优化与增长机会并驱动落地；
5. 与工程、设计紧密配合,交付高质量、对开发者友好的产品与文档；
6. 针对目标生态与重点客户,发展并维护长期合作关系,帮助产品在全球开发者生态中成长。
1. 3年及以上工作经验,其中2年以上产品经理经验；
2. 有商业化 SaaS 产品经验:熟悉订阅 / 按量计费、定价套餐、转化漏斗、增长指标等商业化要素；
3. 有从 0 到 1 或独立负责产品模块 / 子产品线、推动上线的完整经验；
4. 本科及以上学历，计算机、软件、信息工程等相关专业,具备一定技术理解力(能读懂 API / 技术文档,与工程高效协作)；
5. 优秀的跨团队协作、问题分析与解决能力,执行力强、能在快节奏下推进。

加分项：
1. 有 Web3 / 区块链从业经验(节点 / RPC、数据、零知识证明、EVM 生态、合规 KYT/KYC 等任一方向)；
2. 有 AI 相关产品经验(LLM、Agent 等），熟悉主流AI产品框架（Claude Code、Codex、OpenClaw、OpenRouter等)；
3. 有面向海外市场开发者产品的经验；
4. 有创业公司经验，或活跃于开发者 / Web3 社区；
5. 具备全英语工作能力(读写说)，能直接面向海外用户与合作方沟通。"
蚂蚁国际-AI产品经理-国际产品,AI,上海 / 杭州,2026-07-14T03:07:00.000+00:00,https://talent.antgroup.com/off-campus-position/260602010278255,"1. 负责大模型在应用平台/产品的规划、设计与实施，识别关键用户场景，把控用户体验，完整交付产品高质量落地
2. 数据驱动决策，能明确产品的北极星指标，通过用户反馈、埋点、算法等相应指标，量化产品价值，制定优化策略及迭代计划
3. 高效协同产品、研发、算法、运营、设计等多团队，确保产品规划的落地实施与持续优化
4. 基于用户洞察，竞品分析，行业认知，结合对AI技术边界的理解，挖掘AI应用的场景，构建AI解决方案，赋能业务增长
5. 持续跟踪全球AI发展动态，研究不同行业创新应用案例，结合对业务的理解，推动产品创新
1. 对AI有极强的好奇心和学习能力，相信AI将改变工作和生活，对AI技术发展、业界先进AI产品能够持续探索和学习，对AI的优势、局限性和应用方法有深入的思考和理解
2. 具备扎实的产品功底，对用户需求有独到和敏锐的理解，对产品的交互和体验有极致的追求，深度的用户分析能力和需求挖掘能力，有C端产品经验的加分
3. 优秀的逻辑思维能力及商业敏感度，抗压能力强，有团队合作精神，能整合多方资源达成目标
4. 本科及以上学历，2年以上产品设计经验，英语可作为工作语言；SaaS产品相关经验、AI相关工作经验、或自己搭建过AI应用经验的优先"
蚂蚁集团-AI产品经理（IoT）-线下支付,AI、Agent,杭州,2026-07-13T16:00:00.000+00:00,https://talent.antgroup.com/off-campus-position/26010408217332,"1、主导AI能力在商家数据洞察场景的深度应用，基于IoT终端（如智能POS、碰设备、音箱）与支付交易数据，构建商家经营看板及智能分析工具，提升数据可视化效率与商业价值挖掘能力；
2、围绕商家核心经营场景（如交易分析、销售趋势预测、会员行为分析），设计AI Agent产品方案，输出可落地的预测模型、动态报表及自动生成的经营建议；
3、协同算法、工程与硬件团队，打通IoT设备数据采集-清洗-建模-呈现的全链路，推动AI能力与智能硬件的深度融合；
4、验证AI价值：通过数据驱动迭代，量化AI能力对商家经营效率的提升效果。
1、3年及以上ToB产品经理经验，具备AI产品设计或数据分析背景，有从0到1的AI产品上线案例，沟通表达能力强，面对挑战有创新思路与结果导向意识；
2、对数据敏感，能快速挖掘交易数据与业务指标之间的关联，擅长从数据中提炼机会点并制定策略；
3、具备AI产品深度理解，熟悉机器学习/深度学习技术原理，有AI模型商业化落地经验（如时间序列预测等在商家看板中的实践）；
4、有IoT硬件、SaaS平台、数据可视化工具或商家服务类产品经验者优先，熟悉零售、餐饮等行业运营逻辑者加分。"
蚂蚁数字科技-数科技术部-AI产品经理,AI、Agent,北京 / 杭州,2026-07-10T06:28:40.000+00:00,https://talent.antgroup.com/off-campus-position/260707010787644,"1.方向探索：洞察AI技术趋势与用户需求的交叉点，定义孵化方向，不等人喂赛道；
2. 0→1验证：快速设计MVP，2-4周出原型，用数据说话决定pivot还是proceed；
3. 产品定义：从模糊idea到清晰spec，能把""可能有用""变成""非用不可""；
4. 孵化转轨：验证通过的项目，推动进入正式产品线或独立商业化。
1. 1-5年产品经理经验，其中1年以上AI产品经验（大模型应用/AI Agent/智能助手等）；
2. 有过0→1产品经历，从idea到上线到迭代，完整走过；
3. 能写代码看文档，了解Prompt Engineering、RAG、Agent架构，理解LLM能力边界，能和技术深度对话，不被技术牵着走；
4. 想法多， 能折腾，有判断力，有抗压力。"
蚂蚁集团-芝麻信用商业产品经理-芝麻信用,AI,杭州,2026-07-09T11:52:42.000+00:00,https://talent.antgroup.com/off-campus-position/260709010851063,"1、负责芝麻信用商业产品规划与落地，推动信用服务在生活、电商、出行、酒旅、医疗\健康、租赁回收等各行业规模化应用；
2、参与芝麻信用产品AI化探索与创新，深入理解商业场景需求并结合信用能力，探索""信用xAI""的价值和产品设计；
3、用户价值和数据驱动产品迭代，通过用户分析、AB实验等持续优化产品体验与业务效果；
4、跨团队协同，与业务、运营、风控、技术等内外部团队合作，推动商业信用产品服务心智普及和持续增长。
1、本科及以上学历，2年以上互联网产品经验，，具备优秀的产品规划与设计能力，有信用/支付/商业产品经验者优先；
2、对AI发展和应用有深入理解，有AI产品落地经验或技术创新探索经验者优先；
3、数据敏感、逻辑清晰，善于通过数据分析发现问题并驱动决策；
4、优秀的沟通协调力和自驱力，能在复杂环境下推动跨团队项目落地、主动破局拿结果。"
蚂蚁国际-国际风控AI产品经理-国际风控,AI、Agent,杭州,2026-07-07T02:23:25.000+00:00,https://talent.antgroup.com/off-campus-position/26040809480703,"1. 主导蚂蚁国际风控产品的规划设计，引入AI能力，协同国际业务、风险政策、风险运营等团队一同提升蚂蚁国际风控安全能力；
2. 负责国际电商平台风控产品交付，将客户需求转换为产品解决方案及流程机制，主导产品落地实施和改进优化；
3. 从风控视角对客户体验、商户服务、安全运营机制等进行用户分析和产品优化，为业务提出合理的安全建议。
4. 使用AI新技术，与工程/算法团队紧密合作，落地安全产品创新形态；探索AI vs AI等创新领域风险产品课题，重塑风险对抗体系；
1. 拥抱AI，熟悉AI；对AI技术及工具有浓厚兴趣，了解机器学习，LLM，多模态、Agent等AI技术的基本原理和能力边界，能够与算法和工程团队进行深度、高效的沟通。
2. 本科及以上学历，三年以上产品工作经验，有复杂产品体系设计实施经验，有支持海外业务经验英语流利者优先；
3. 熟悉支付行业的业务形态，有过搭建国际跨境收单支付或安全风控产品经验者为佳；了解国内外黑产环境、对反欺诈、反账户盗用等领域有工作经验者优先；
4. 熟悉产品设计、项目管理、数据分析等全链路工作。具备出色的沟通协调能力、团队合作精神和项目落地能努力；有强烈的责任心和自驱力，能够承受压力，对用技术创造价值充满热情。"
网商银行-AI 投研产品经理-杭州,AI,杭州,2026-07-03T10:23:52.000+00:00,https://talent.antgroup.com/off-campus-position/260611010432027,"1. 基于 AI 大模型能力，构建全金融品种（权益/固收/商品/基金/宏观/行业）AI投研产品，满足业务对各类资产的深度研究需求；
2. 建设理财产品胜率预测体系和收益归因能力，推动理财产品管理从定性评价到定量评价的转型升级；
3. 与理财子公司、投研、运营、技术等角色紧密协作，主导需求调研、原型设计、PRD输出，协调资源推进产品落地与持续迭代。
1. 本科及以上学历，金融工程、计算机、数学、统计等相关专业，金融+AI 复合背景优先；
2. 3年以上金融产品经验，熟悉相关金融品种的业务逻辑、产品结构、定价估值、风险特征及投研流程；
3. 有过AI产品相关经验，了解常见的 AI模型（如大语言模型/LLM、语音识别、多模态融合）的原理、应用场景和局限性等；
4. 目标驱动，抗压力强，具备用户思维、创新意识及跨团队协作能力。
加分项
● 熟练使用 Claude Code 等 AI Coding 工具，了解主流金融 Skill 底层逻辑；
● 有 CFA 专业资格证书；
● 有大模型在金融领域落地经验。"
蚂蚁数字科技-数字科技线-AI中台产品经理,AI、Agent,上海 / 杭州,2026-07-02T05:46:28.000+00:00,https://talent.antgroup.com/off-campus-position/26010808303455,"1. 负责Agentar智能体研发平台的核心产品设计与迭代，打造稳定、高效、易用的智能体开发基础设施，支撑内部研发团队与外部客户快速构建、部署、运营各类智能体应用；
2. 平台整体规划：基于AI技术趋势、用户需求（开发者 / 企业客户）与业务战略，制定智能体研发平台的中长期产品roadmap，涵盖核心功能（工作流编排、插件市场、知识库管理、多模态交互、权限管控等）的优先级规划；
3. 核心功能设计：主导平台核心模块的产品设计，包括智能体编排引擎、插件生态体系、知识库管理系统、API网关、监控运维面板等，输出PRD、原型图、交互文档，确保功能满足开发效率与业务扩展性需求；
4. 用户需求洞察：深入调研内外部企业客户的使用痛点，通过用户访谈、数据分析、竞品分析等方式，提炼产品优化点，持续提升平台的易用性、稳定性与性能；
5. 跨团队协作：联动研发、算法、测试团队推进平台功能落地，参与技术方案评审，协调解决开发过程中的产品需求冲突，确保产品按计划上线并达到质量标准；
5. 数据驱动迭代：建立平台使用数据指标体系（如智能体创建效率、插件调用频次、用户留存率等），通过数据分析优化产品体验，提升平台的用户粘性与商业价值。
1. 5年以上商业化产品经理工作经验。熟悉AI大模型、智能体技术原理（如prompt 工程、多轮对话、工具调用、记忆机制），了解微服务架构、API设计、数据库原理等技术基础，能与研发团队高效沟通技术方案；
2. 具备从0到1搭建复杂平台产品的经验，擅长抽象用户需求并转化为产品功能，有优秀的逻辑思维、原型设计能力，对行业趋势有深刻的见解，熟悉领域内领先公司的业务和产品；
3. 出色的沟通能力，擅长团队协作，可以协同多方资源（含客户）推动产品的落地，具有客户资源者优先；
4. 具备良好的商业sense及行业敏感度，热衷创新和突破，具备强跨部门沟通及协作能力，有很强的责任心和ownership，能够高效推进落地并取得业绩结果；
5. 具备英文表达能力和书面文案能力更佳。"
