岗位,命中关键词,地点,发布时间,URL,JD
B端产品经理（AI方向）-【生活服务】,AI、Agent,Beijing,2026-07-02 18:19:57,https://zhaopin.kuaishou.cn/recruit/e/#/official/social/job-info/30895,"1、负责B端核心产品的整体规划与迭代，深入理解行业痛点，设计满足企业客户需求的解决方案；主导产品全链路的AI能力嵌入规划，包括但不限于智能需求分析、AI辅助原型生成、智能决策支持等场景；
2、设计自然、高效的人机交互方式，降低B端产品的学习成本；探索并落地LLM驱动的智能助手、对话式交互、智能表单填充、自然语言指令执行等创新交互模式；
3、构建数据驱动的产研闭环，通过用户行为分析优化产品体验；设计智能数据分析能力，支持自然语言查询生成可视化报表；推动业务流程自动化，实现AI驱动的智能审批、智能预警、智能推荐；基于用户行为数据，构建个性化功能推荐与工作流优化建议；
4、与算法团队紧密合作，将AI能力（NLP、CV、预测模型等）产品化，形成可复用的AI组件；设计低代码/无代码的AI能力编排平台，让业务人员可快速搭建智能化业务流程；
5、推动产品团队自身的AI工具落地，包括AI辅助PRD撰写、智能用户调研分析、竞品AI化监控；探索AI辅助测试、AI辅助客服训练、AI辅助培训内容生成等内部提效场景。
1、本科及以上学历，3年以上B端产品经理经验，有SaaS、企业服务、ERP/CRM等领域经验优先，有AI产品落地经验者优先；
2、完整负责过至少1个B端产品的0-1或重大版本迭代；对LLM、RAG、Agent等AI技术有深入理解，有AI产品落地经验优先；具备优秀的需求分析、产品架构设计、项目管理能力；
3、具有一定的项目管理经验，沟通和协调能力较强，能够高效推动多部门协作；具备与算法、工程团队协同落地的经验，理解AI项目交付特点；
4、对AI新技术保持好奇心，心态开放，自驱力强，有创业精神。"
智能客服产品经理（AI方向）-【生活服务】,AI、Agent,Beijing,2026-07-02 18:19:55,https://zhaopin.kuaishou.cn/recruit/e/#/official/social/job-info/28344,"1.核心产品负责：负责磁力青松、企微带户等AI智能服务产品，覆盖AI问答、意图识别、效果Agent等核心功能模块，完成产品设计与落地，为客户渗透与解决率指标负责；
2.AI能力落地：结合优化师/投手在投放过程中的真实场景，设计智能化交互流程与意图识别方案，推动大模型能力与业务场景深度结合，参与模型评测与调优方向定义，持续提升问题解决率与用户采纳率；
3.产品迭代驱动：基于数据分析与一线业务调研，建立可量化的产品评估指标体系，定期归因问题、推动迭代，持续输出可落地的优化方案。
1.有商业化AI智能问答、智能客服类产品0-1孵化经验优先；有模型训练与评测、Agent搭建经验优先；有可量化的对客营销/投放策略输出经验优先；
2.深度了解大模型能力边界与应用场景，对AI智能服务产品有较强的判断力，能独立推动跨团队落地；
3.熟悉商业广告产品或ToB营销产品，理解优化师/投手的工作流程，有快手/字节/腾讯广告平台使用经验优先；
4.数据敏感度高，能独立搭建评估指标体系，通过数据归因问题、驱动决策；
5.本科及以上学历，计算机相关专业优先。"
AI产品经理（诊断任务）—【生活服务】,AI、Agent,Beijing,2026-07-02 18:19:54,https://zhaopin.kuaishou.cn/recruit/e/#/official/social/job-info/30864,"1.核心产品负责：负责面向投手的智能诊断与任务体系建设，包括任务下发策略、激励金机制、预警/指导类任务分层、大客诊断迭代等，完成需求调研、规划、设计与推进落地；
2.策略设计与优化：结合投手在投放过程中的问题场景与大模型能力，设计精准的任务触发规则与个性化诊断方案，提升任务下发完成率与账户优化达成率；
3.效果度量与迭代：建立诊断任务核心度量指标体系，主导AB实验设计与效果归因，通过数据驱动的策略优化推动产品持续迭代，对任务完成率与账户优化达成率负责。
1.有策略类/任务类/推荐系统相关产品经验优先；有AB实验设计与分析经验优先；有大模型/Agent相关产品落地经验优先；
2.理解广告投放优化链路，能从投手视角定义诊断场景与任务触发逻辑，熟悉快手/字节/腾讯广告平台优先；
3.数据敏感度高，能独立设计实验方案、搭建评估指标体系，擅长通过数据归因复杂业务问题；
4.逻辑清晰，推动力强，能在多方协作中高效落地复杂策略产品；
5.本科及以上学历，计算机相关专业优先。"
AI产品经理（AI外呼）—【生活服务】,AI、Agent,Beijing,2026-07-02 18:19:53,https://zhaopin.kuaishou.cn/recruit/e/#/official/social/job-info/30863,"1.核心产品负责：负责AI外呼产品的全链路建设，包括AI外呼话术Skill、老客召回策略、多渠道触达链路等，完成需求调研、规划、设计与推进落地；
2.转化链路优化：负责外呼话术的策略设计与成交逻辑优化，结合大模型能力提升话术个性化与场景适配能力，持续提升客户召回转化率与企微建联成功率；
3.效果度量与迭代：建立AI外呼产品核心度量指标（接通率、转化率、建联率等），通过数据分析与AB实验驱动策略持续优化，推动产品迭代闭环。
1.有AI外呼或对客触达类产品经验优先；有话术策略设计或转化漏斗优化经验优先；有大模型/Agent相关产品落地经验优先；
2.理解外呼/电销业务流程，熟悉客户召回与留存场景，能从业务视角定义产品需求；
3.熟悉商业广告或ToB营销产品，了解快手/字节/腾讯广告平台投放流程优先；
4.数据敏感度高，能独立设计AB实验方案，通过数据归因问题、驱动转化提升；
5.本科及以上学历，计算机相关专业优先。"
AIGC产品经理（号生态方向）-【生活服务】,AI,Beijing,2026-07-02 18:19:42,https://zhaopin.kuaishou.cn/recruit/e/#/official/social/job-info/28798,"1、负责快手生服线索经营工具以及商业生态相关产品功能迭代，包括生活号线索经营组件提效，AIGC内容生产赋能，为线索商家活跃指标负责，助力团队账号营收目标达成；
2、作为方向主R，具备业务中长期规划能力，具备良好的对外沟通和资源协调能力，指标意识强。能联动多团队达成业务目标；
3、具备用户视角，能从平台、商家和用户多方视角，全链路的思考线索经营商业生态机制设计。关注行业趋势，了解业界最佳实践，并能结合业务当前阶段制定解决方案。
1、本科及以上学历，3年以上工作经验，有号生态产品、AIGC经验者优先考虑；
2、数据敏感度高，逻辑思维缜密，善于分析、抽象和解决问题；
3、具备高度责任心，有良好的跨团队沟通能力，较强的学习能力和抗压能力。"
广告投放AI Agent产品经理-【生活服务】,AI、Agent,Beijing,2026-07-02 18:19:40,https://zhaopin.kuaishou.cn/recruit/e/#/official/social/job-info/30688,"1、主导线索行业AI广告投放产品的全生命周期管理，包括需求挖掘、产品规划、原型设计、PRD撰写、上线推进及效果迭代，核心围绕AI Agent技术的落地应用，解决广告深度转化中的核心痛点；
2、结合广告行业特性（如信息流广告、搜索广告、效果广告等），设计AI Agent广告投放引导相关产品方案，推动技术与业务深度融合，实现广告转化效率与ROI的双重提升；
3、联动算法、研发、运营、销售等跨部门团队，明确AI模型需求与技术落地路径，协调资源推进产品落地，解决落地过程中的技术与业务难点，确保产品按时高质量上线，具备从Demo到生产环境的全流程落地能力，规避AI Agent项目常见的落地鸿沟问题；
4、深入分析广告投放数据、用户转化数据，基于数据洞察优化产品功能与AI策略，持续提升产品的转化效果与用户体验，建立完善的产品效果评估体系；
5、跟踪AI Agent、广告转化领域的行业趋势、竞品动态，结合业务需求提出创新产品思路，主动探索新技术、新场景的应用，推动产品持续迭代升级，同时梳理广告业务流程，围绕AI Agent重构优化工作流，实现业务效率提升；
6、承担产品商业化相关职责，配合销售、客户成功团队，输出产品解决方案，助力客户实现广告深度转化，收集客户反馈并转化为产品优化需求，平衡技术可行性、用户体验与商业价值。
1、本科及以上学历，3年以上广告or推荐相关经验，1年以上AI产品经理相关工作经验，有完整的AI产品从规划到落地的全流程经验，具备深度转化或广告相关产品经验者优先；
2、具备扎实的AI Agent相关落地经验，深入理解AI Agent的核心逻辑（自主规划、工具调用、RAG知识库、多智能体协作等），有AI Agent在广告、营销或转化场景的落地案例，熟悉AI Agent从知识冷启动到生产环境部署的完整路径，能独立解决落地过程中的核心问题；
3、具备广告行业相关经验，熟悉广告投放全流程（曝光、点击、转化、复盘），了解信息流、搜索、效果广告等主流广告形式，清楚广告主核心需求（转化、ROI、成本控制），能结合广告业务场景设计贴合需求的AI产品方案；
4、聪明敏锐，具备极强的逻辑思维能力、问题解决能力和学习能力，能快速理解复杂业务场景与AI技术边界，精准捕捉用户痛点与产品优化方向，能在复杂需求中快速找到核心优先级；
5、自驱力强，目标导向明确，具备独立负责产品的能力，能主动推进工作、承担责任，面对技术或业务难点不退缩，有强烈的创新意识和结果导向，无需过多督促即可完成核心工作，能主动探索AI与广告转化的结合点；
6、具备良好的沟通协调能力、文档撰写能力和跨部门协作能力，能清晰传递产品需求与规划，协调算法、研发等团队推进落地；了解机器学习、大模型相关基础原理，能与算法工程师高效协作。"
AIGC产品经理（短视频方向）-【生活服务】,AI,Beijing,2026-07-02 18:19:37,https://zhaopin.kuaishou.cn/recruit/e/#/official/social/job-info/23556,"1、负责广告素材AIGC产品全生命周期管理，包括但不限于脚本生成、文生图片、图生视频、文生视频等方向；

2、设计和实施创新的AIGC解决方案，以支持数字人业务发展，包括数字人口型驱动、表情驱动、动作驱动，以及文生音频、文生图片、数字人互动等功能；

3、与研发团队紧密合作，确保产品从概念到市场落地过程中的需求准确无误地实现，进行市场调研，收集用户反馈，分析竞争对手，以指导产品优化和迭代；

4、探索和评估新兴的人工智能技术，以识别新的应用场景，并提高现有产品的性能和用户体验，关注行业趋势，确保我们的AIGC解决方案始终保持行业领先。
1、计算机科学、人工智能或相关领域的专业背景优先，希望你深入理解NLP、深度学习等技术框架和算法原理；
2、至少3年互联网经验，有3年以上产品或广告素材相关领域从业经验优先；
3、具备出色的市场分析和产品规划能力，能根据市场需求制定有效的商业策略；
4、优秀的团队协作和项目管理能力，能够在多部门间有效沟通并推动项目进度，优先考虑成功实施前沿技术产品或商业化AIGC产品的经验者。"
AIGC产品经理（直播方向）-【生活服务】,AI,Beijing,2026-07-02 18:19:35,https://zhaopin.kuaishou.cn/recruit/e/#/official/social/job-info/31052,"1、负责 AI 直播及数字人直播产品的全生命周期管理，涵盖数字人形象生成、LLM驱动的智能交互、实时互动策略及商业化增长等方向。与算法、工程、运营、商业化团队深度协同，推动 AIGC 技术在直播场景中的规模化落地，持续提升直播间广告消耗、用户留存及转化效率；
2、负责 AI 直播 / 数字人直播产品的需求分析、功能规划与版本迭代，制定产品路线图（Roadmap），对齐业务目标与技术可行性并推动能力落地和业务收益；
3、深入研究数字人形象生成、语音合成（TTS）、口型驱动、实时渲染等核心技术方向，将技术能力转化为可落地的产品方案；
4、基于 LLM 大模型，设计数字人在直播间的智能话术生成（商品卖点自动提炼、动态脚本）与实时互动（弹幕问答、观众情绪感知、自动引导购买）功能方案；
5、负责直播间核心业务场景设计：数字人上下播流程、直播间搭建工具、商品讲解模块、活动玩法配置等，输出高质量 PRD / 交互原型；
6、通过用户行为数据分析（漏斗模型、A/B 测试、留存分析），识别产品瓶颈，驱动转化率与 ARPU 提升。
1、3年左右产品经理工作经验，有直播产品、电商产品或 AIGC 产品经验者优先；
2、具备较强的逻辑思维与结构化表达能力，能独立撰写完整 PRD，清晰定义功能边界与验收标准；
3、具备基本数据分析能力，能独立使用 SQL 进行数据查询，熟悉 A/B 测试方法论；
4、有良好的跨团队协同能力，推动项目落地的执行力强，抗压能力强；
5、了解大模型（LLM）基本原理及应用边界，理解 NLP、TTS、ASR、视频生成等 AI 技术方向。"
AIGC产品经理-【生活服务】,AI、Agent,Beijing,2026-07-02 18:19:35,https://zhaopin.kuaishou.cn/recruit/e/#/official/social/job-info/31053,"1、负责 AIGC 视频在快手本地生活交易团购场景的内容生产与分发产品体系，通过 AI 视频、数字人等内容形态规模化驱动商品曝光与交易转化，直接带动团购 GMV 增长。覆盖从素材生产、内容编排到投放分发的完整链路，将生成式 AI 能力转化为可规模化的商业增长引擎；
2、负责 AIGC 内容生产产品的规划与落地，包括从素材生产、内容编排到投放分发的完整链路设计；
3、主导 AI 视频 / AI数字人等内容形态的产品定义，推动生成质量与商业化效果的持续提升；
4、搭建素材生产与分发的策略体系，包括产能分配、素材汰换、效果回流、AB 实验等机制；
5、与算法、研发、设计、运营紧密协同，把模型能力转化为可规模化、可衡量的产品交付；
6、跟踪行业前沿（多模态生成、Agent、端到端等），把技术演进转化为产品机会。
1、3年以上互联网产品经验，有内容生产、广告投放、推荐分发等任一方向的深度落地经历；
2、有 AIGC 产品的一线落地经验，熟悉文本 / 图像 / 视频 / 数字人 / Agent 中至少一类生成式产品的完整研发流程；理解生成质量评估方法（人评、机评、AB 实验）、模型能力边界与生产成本结构；只做过 demo 不算；
3、对生成式 AI 技术有体系化认知，了解主流大模型、多模态、Agent 等技术栈的能力与局限，能与算法同学就模型选型、效果迭代展开有效讨论；
4、具备扎实的数据分析能力，能从复杂指标体系中拆解问题、定义优化路径，对结果负责；
5、跨职能协同能力强，能与算法、研发、业务方共同推进复杂项目，沟通能力优秀，方案表达清晰；
6、加分项：有大平台广告 / 内容工具产品经验；熟悉 Sora、Veo、可灵、即梦等前沿生成模型并有独立判断；具备数据分析、原型搭建等自助验证能力。"
AI产品经理-【生活服务】,AI、Agent,Beijing,2026-07-02 18:19:34,https://zhaopin.kuaishou.cn/recruit/e/#/official/social/job-info/30717,"1、负责生活服务事业部的 OpenClaw 平台的产品规划与落地，深入挖掘 AI 时代下企业办公效率及组织协同模式，提升事业部各业务的工作效率；
2、规划平台架构与能力，定义 Agent 平台的核心能力矩阵，制定中长期产品路线图；
3、深入各业务线，挖掘高价值的 AI 应用场景，设计最小可行产品（MVP）并推动快速验证；
4、建立技能生态机制，设计技能发现、创建、评估与迭代的闭环流程，降低内部用户使用门槛，推动技能供给从“集中开发”向“全民共建”转变；
5、关注产品的体验与用户 Adoption，通过数据驱动优化，提升使用率、活跃度及任务完成率，推动产品从“可用”到“好用”再到“不可或缺”；
6、协调算法、工程、设计及各业务方资源，推动平台能力接入与业务场景落地，建立高效的内部反馈机制，持续优化产品方向。
1、本科及以上学历，2年以上产品经理经验，有 AI/Agent 相关产品经验者优先；
2、熟悉大模型的能力边界及典型应用模式（如对话、工具调用、Agent 编排等），对 AI 技术有一定的理解和热情；
3、具备较强的执行力和跨团队沟通能力，能够在多利益方环境中高效推进共识并落实行动；
4、数据敏感，能够通过用户使用数据分析问题并验证假设，驱动产品迭代；
5、责任心强，学习能力优秀，具备良好的适应能力和抗压能力，能快速融入高节奏的工作环境。"
