岗位,命中关键词,地点,发布时间,URL,JD
产品经理（基础设施供应链与资源运营）（J101289）,AI、Agent,北京市,2026-07-01,https://talent.baidu.com/jobs/detail/SOCIAL/505473ed-ffdd-476e-a809-64ff86c510f3,"- 负责资源运营相关产品（包括资源需求管理，库存、交付、效能等）的产品规划，需求分析，流程重建/梳理，经营分析，进行平台系统设计，形成产品方案
- 负责云产品相关的资源定价、资源成本、精细化运营产品建设
- 负责资源运营领域 AI 能力的规划与落地，包括智能体（Agent）场景设计、Skill 能力编排、自然语言交互流程定义，推动平台从""人操作系统""向""Agent 调用能力""演进
- 探索大模型在资源运营场景中的应用，如智能需求预测、异常检测、成本归因分析、自动化运营报告等，将 AI 能力融入产品闭环
- 负责需求落地和项目控制，完成产品需求文档撰写，流程设计、产品原型设计等，并跟进开发测试过程，保证验收进度及线上质量
- 基于数据和用户反馈持续驱动产品决策，适应快速变化的市场环境，提升产品竞争力
- 本科及以上学历，2-3 年以上供应链或资源运营领域产品规划、架构及功能设计经验
- 熟悉供应链/基础设施运营相关模块者优先，有独立从 0 到 1 搭建平台化产品经验者优先
- 了解大模型/智能体（Agent）应用趋势，对 Agent Skill 化、工具调用、Prompt 工程等有一定认知，有 AI 产品落地经验者优先
- 具备将复杂业务流程抽象为标准化、可编排能力接口的思维，能定义清晰的 Agent 调用边界与交互规范
- 自驱务实，结果导向，落地能力强，具备优秀的跨部门协作能力
- 具备优秀的逻辑思维能力、数据分析能力，能够迅速抓住核心问题并积极突破，具备业务同理心
- 有良好的团队精神和严谨的工作态度，能承受工作压力，书面及口头表达思路清晰、流畅，对新知识具备好奇心，学习能力强"
AI产品经理（企业效能方向）（J101301）,AI、Agent,北京市,2026-07-01,https://talent.baidu.com/jobs/detail/SOCIAL/ad3bf79c-557c-495a-a6ee-2d90f42014f8,"-负责企业工作流的识别与分析，深入到IT、安全、工程等场景，洞察组织流程、效率相关的痛点与瓶颈
-负责AI Agent方向的探索与落地，推动OpenClaw、Hermes等框架在工作会议、企业招聘、数字员工等多种场景中实际落地
-紧密协调技术团队完成智能体设计、开发与沙盒实验，搭建效果指标看板，保障企业组织效率问题可观测、可量化
-推动技术、业务、运营等团队成员，明确协作机制，牵头负责智能体产品设计、开发、运营的全流程管理，对产品效果负责
-结合产品运营数据与用户反馈，持续改善Agent效果、复盘并迭代产品，保障企业效率实质提升
-具备良好的产品Sense与痛点洞察力
-具备大语言模型的应用经验，对大模型能力边界、如何编写高质量Prompt等有较清晰的认知
-熟悉Agentic Workflow的使用或构建，拥有基于AI实现 ≥ 1个提效Workflow/完整产品的经验，能持续稳定产出
-具备AI原生意识，对AI前沿技术有敏锐洞察力，不受固有规则束缚，能高效完成业务流程拆解与AI重构验证
-加分项：
-具备较强的协作能力，能主导跨部门协作项目或较大型项目的规划、推进与落地者优先
-逻辑思维严谨，对用户体验敏感，喜欢挑战和尝试，能独立完成产品Demo者优先"
AI产品经理（海外AIGC平台功能方向）（J101288）,AI,北京市,2026-06-30,https://talent.baidu.com/jobs/detail/SOCIAL/7521ad0e-0eb7-4822-86e4-52ebe51e53eb,"- 负责海外AIGC平台功能模块的产品规划、需求分析及功能设计，确保产品符合海外市场需求和用户体验标准
- 负责AI视频创作工具的产品规划与迭代，将AI模型能力转化为易用、高效的创作功能与交互体验
- 分析海外竞品动态及用户反馈，持续优化产品功能，提升用户活跃度和留存率
- 与算法、研发、设计等团队紧密协作，推动产品高质量落地
- 监控产品功能上线后的数据表现，通过数据分析提出迭代优化方案，提升产品核心指标
- 本科及以上学历，2年以上互联网产品经验，有海外互联网产品或AIGC相关产品经验优先
- 具备良好的数据分析能力和用户需求洞察力，能通过数据驱动产品决策
- 具备良好的产品思维、逻辑分析能力，能够独立负责产品模块并推动项目落地
- 具备良好的沟通协作能力和Owner意识，能够高效推动跨团队合作"
文心助手策略产品经理（J101139）,AI,北京市,2026-06-29,https://talent.baidu.com/jobs/detail/SOCIAL/c692bea7-fbd9-43ba-aa0e-5d7b2144966b,"-负责文心助手策略设计及效果评估，为策略体验负责
-深入分析用户需求，能够捕捉到用户需求，并优化产品策略
-监控产品数据，通过数据分析，挖掘问题，指导策略设计
-通过体验评估及实验机制，验证策略有效性，并持续迭代
-本科及以上学历，2年以上策略产品工作经验，有AI产品经验者优先
-具备出色的逻辑分析能力
-对数据敏感，能够通过数据分析指导策略迭代
-优秀的沟通表达能力，能够协同团队完成项目的推进"
推荐策略产品经理（J101167）,AI,北京市,2026-06-26,https://talent.baidu.com/jobs/detail/SOCIAL/d9b55b5d-a9a2-46b7-915e-942d4a0669fe,"- 负责百度搜索query推荐产品的规划、设计，推动策略和功能迭代优化，提升搜索用户体验和规模增长
- 深度剖析用户搜索需求，针对性制定搜索用户留存增长策略
- 跨部门协同，与算法、运营等团队紧密合作，推动策略落地和效果评估
- 深入理解业务数据，通过数据监控和用户反馈，持续优化搜索策略
- 关注行业内搜索业务、大模型应用发展趋势，应用前沿技术改善自身产品不足，探索产品新方向
- 3年以上搜推策略产品经验，有用户增长、推荐策略、AI搜索相关经验优先
- 具备强自驱力和抗压性，有责任心，执行力强、擅长跨团队协作
- 擅长业务和用户分析，可独立定位并解决核心问题"
AI产品经理（J101168）,AI,北京市,2026-06-26,https://talent.baidu.com/jobs/detail/SOCIAL/1c3db307-c38a-41e1-91aa-761a3579f60f,"- 负责百度APP内文心助手产品功能设计与渗透增长，独立规划、拆解与落地
- 结合百度APP及传统搜索现状与生成式AI发展趋势做好搜索新体验创新探索，助力端LT增长
- 深入理解生成式AI及搜索行业发展规律，监控并洞察竞品变化，为AI新代际下的搜索体验革新提供参考
- 对线上业务数据全面监控和评估，通过数据分析与体验调研，及时发现业务问题，持续迭代产品体验
- 本科及以上学历，3年以上大流量用户产品/AI大模型产品经验优先，有功能/策略/模型多维度项目经验优先
- 有独立业务规划与执行能力，数据敏感，看待问题系统、全面，创造力强
- 目标导向，自驱力强，优秀的沟通能力、团队协作与抗压能力
- 具备较强的市场分析能力和竞争意识，能够了解竞争对手产品并给予优化建议"
生态产品经理（Skill 方向）（J101048）,AI、Agent,北京市,2026-06-24,https://talent.baidu.com/jobs/detail/SOCIAL/72b0e209-eb41-4408-85e4-f0c78104ed27,"-生态产品规划与落地：负责 Dumate 平台 Skill 生态的全局产品设计，涵盖开放平台、开发者控制台、Skill 创建/审核/上架/下架/推荐/评价全流程，以及开发者文档、调试工具、沙箱环境等配套产品，持续提升开发者接入效率与用户体验
-与生态运营团队深度协同：与生态运营负责人紧密配合，基于运营侧输出的伙伴引入率、活跃度、留存率、贡献 GMV 等核心指标，拆解产品优化方向，共同制定生态健康度提升策略，并推动产品侧快速迭代落地
-商业化产品设计：负责生态商业化变现路径的产品实现，包括 API 调用计费系统、分成结算平台、联营商品管理、订阅服务等，配合运营侧完成商务政策的产品化表达，对生态整体营收目标提供产品支撑
-数据分析与策略优化：搭建生态产品数据看板，跟踪 Skill 调用量、开发者转化漏斗、收入构成等关键数据，运用 SQL/Excel 等工具进行深度分析，以数据驱动产品功能优化与运营策略调整
-跨部门协同与项目管理：协同研发、测试、设计团队，制定产品迭代路线图，确保高质量交付；同时与销售、市场团队联动，参与重点生态伙伴的商务沟通，将伙伴需求转化为可落地的产品方案
-行业洞察与竞品分析：持续跟踪 AI Agent、开放平台、开发者生态领域的前沿趋势，分析竞品动态，挖掘新的生态产品机会，保持 Dumate Skill 生态的行业领先性
-本科及以上学历，计算机、软件工程、产品设计、市场营销等相关专业优先
-5 年以上产品经理经验，其中至少 2 年专注于开放平台、开发者平台或生态产品方向
-有大型平台（如微信小程序、钉钉、飞书、云厂商等）生态产品经验者优先
-具备 ToB SaaS、API 经济或流量变现的成功产品案例，熟悉计费模型、分成结算、订阅服务等商业化设计逻辑
-熟练掌握基础数据分析工具（Excel/SQL），能独立完成数据提取、分析与报告，善于用数据指导产品决策
-对 AI Agent、Skill 生态、开发者社区有深刻理解，能够平衡平台的开放性与管控需求，具备一定的技术理解力（能读懂 API 文档、理解技术架构）
-优秀的跨部门沟通与协调能力，能与运营、销售、研发高效协作
-结果导向，自驱力强，能承受较高的工作压力
-具备一定的商务敏感度，能参与高阶商务谈判中的产品支持"
健康档案产品经理（J101063）,AI,北京市,2026-06-24,https://talent.baidu.com/jobs/detail/SOCIAL/d49c9738-527a-4fe1-b6a1-546daef61416,"-负责健康相关核心用户产品的规划、设计与迭代，围绕用户信息管理、服务体验与业务目标，持续提升产品完整性和长期使用价值
-负责核心功能链路设计，梳理用户从信息录入、授权、数据接入、内容呈现、服务触达到结果反馈等关键流程，提升产品体验与业务效率
-负责多源数据能力的产品化设计与落地，协同研发、数据、算法等团队推进数据接入、清洗、结构化、展示与应用，提升数据在产品中的可用性和价值
-结合 AI 能力优化信息理解、内容生成、智能交互、辅助决策等产品体验，探索更高效、可信、可解释的服务方式
-设计不同业务场景下的数据流转与功能协同机制，支持用户管理、服务匹配、运营触达、多角色协作等场景落地
-建立产品效果评估与数据分析机制，围绕关键行为、功能使用、服务转化、用户留存等指标持续优化产品表现
-协同算法、研发、数据、运营及相关业务团队，推动产品方案从需求定义、流程设计、原型设计、数据对接到上线运营的完整落地
-3年以上产品经理经验，有健康管理、医疗健康、AI 产品、数据产品、用户产品、IoT 或多源数据接入相关经验优先
-产品设计功底扎实，具备较强的功能链路设计、信息架构设计和交互体验判断能力，能够独立完成从需求分析、流程设计、原型设计到上线复盘的完整产品工作
-有独立 App、搜索产品、闭环交易/服务业务、复杂用户产品或 0-1 项目经验优先，能够围绕用户目标和业务目标拆解完整路径，并推动结果达成
-对 AI 有高度热情和持续学习意愿，对大模型、Prompt、智能交互、内容生成、用户状态理解、推荐策略等方向有较深入理解，能够结合具体业务场景设计可落地的 AI 产品能力。能熟练使用 Claude、ChatGPT、Cursor、Figma AI 等 AI 工具进行需求梳理、竞品分析、数据分析、原型/Demo 搭建与方案验证，并将 AI 工具融入日常产品工作流
-具备较强的数据分析、逻辑抽象和系统化思考能力，能够在需求不完全明确的情况下独立判断问题、定义方案并推动落地
-沟通协同能力强，能有效理解不同角色诉求，与算法、研发、数据、运营及业务团队形成高质量协作，同时有主见，能在复杂问题中提出清晰判断并承担产品决策"
Dumate个人版商业化产品经理（J101087）,AI,北京市,2026-06-24,https://talent.baidu.com/jobs/detail/SOCIAL/184d2997-559e-42d1-a83e-e9d47914be4f,"-负责 Dumate 个人版商业化体系搭建，制定中长期的商业化战略
-从收入和利润两个维度设计商业产品分层与定价策略，构建清晰的价值阶梯
-优化付费转化全链路漏斗，持续提升付费转化率
-搭建订阅用户全生命周期运营体系，驱动续费率、留存率、LTV 等核心指标持续增长
-跨部门协同产品、研发、增长、市场团队，推动商业化需求高效落地
-5 年以上产品经验，3年以上会员或工具类产品商业化经验，有AI工具产品或从 0 到 1 搭建会员商业化体系经验的优先
-对用户付费心理、定价策略有敏锐洞察
-数据驱动，擅长用数据分析定位问题、验证假设、驱动增长
-强执行力与跨部门推动能力，能在快节奏环境中拿到结果"
文心助手策略产品经理（J100993）,AI,北京市,2026-06-23,https://talent.baidu.com/jobs/detail/SOCIAL/9fb10df2-6567-4219-b908-73e4571ec900,"-负责文心助手产品的整体策略规划与制定，确保产品方向与业务目标一致
-深入分析用户需求，结合市场趋势，设计并优化产品策略体验
-监控产品数据，通过数据分析评估产品效果，持续迭代产品策略与用户体验
-关注行业动态，研究竞品策略，为产品迭代提供前瞻性建议
-本科及以上学历，5年以上产品经理工作经验，有AI策略产品经验者优先
-具备出色的逻辑分析能力，能够快速理解复杂业务场景并制定有效策略
-对数据敏感，能够通过数据分析指导产品决策
-优秀的沟通表达能力，能够清晰阐述产品理念与策略，推动团队达成共识"
