岗位,命中关键词,地点,发布时间,URL,JD
腾讯营销-AI投放策略产品经理,AI、Agent,北京,2026年07月10日,https://careers.tencent.com/jobdesc.html?postId=2041516078106050560&language=zh-cn,"1.负责智能投放素材优选，持续迭代基于大模型的素材识别能力及优选策略；
2.负责智能投放原子能力建设，独立演进智能定向、智能版位、出价产品的迭代升级或作为可插拔组件支撑行业化智能投放发展；
3.探索投放agent集群化能力建设，包括营销诉求拆解、投放准备、投放方案设计及管理、数据复盘等agent能力。
1.本科及以上学历，2年以上互联网广告经验，有营销投放策略/推荐策略等相关经验优先；
2.有较强的沟通和理解能力，可以将客户需求转化为产品策略设计；
3.具备较强的抽象分析能力，数据策略敏感度和分析能力；
4.了解大语言模型原理，有AI agent经验为佳。"
智能体-策略产品经理-CodeBuddy/WorkBuddy,AI、Agent,深圳,2026年07月10日,https://careers.tencent.com/jobdesc.html?postId=1949322738699182080&language=zh-cn,"1.负责构建Coding Agent评估体系，建立多行业测试用例库，通过CI/CD报告及埋点数据持续监控效果；
2.主导Prompt工程优化工作，开发垂直领域动态Prompt模板，迭代提示词策略，降低幻觉率并提升需求解析精度；
3.进行工具链集成与效能提升，设计工具智能调度规则，提升工具执行成功率和效果；
4.设计分层记忆管理机制，构建短期记忆与长期记忆，提升智能体应答效果，降低调用成本；
5.优化多智能体协同流程，提升 Plan/Design/Coding Agent 的协作效率；
6.备注：base地可选深圳/北京/上海。
1.具备技术理解深度，熟悉 Agentic Workflow设计及多智能体协作架构，掌握Prompt工程、RAG优化、联邦学习等关键技术，熟悉主流LLM，如Claude/Gemini/混元特性及局限；
2.拥有垂直领域经验，1年以上AI开发者工具产品经验，主导过智能体调优项目；
3.具备数据驱动能力，熟练通过A/B测试验证优化效果，运用漏斗分析定位失效根因；
4.具备复杂场景抽象力，能将金融风控、高并发支付等业务需求拆解为原子化任务，转化为Agent可执行的逻辑链，如“购物车结算分步流程”的语义化回退机制；
5.具备跨职能协同素养，高效联动算法团队，如模型微调、开发者体验组，如交互设计、企业解决方案专家，如私有化部署，推动调优策略快速落地。"
微信秒剪-AI产品经理,AI,广州,2026年07月10日,https://careers.tencent.com/jobdesc.html?postId=1951113659853963264&language=zh-cn,"1.负责秒剪的产品策划工作，深度挖掘用户在视频创作领域的核心痛点与潜在需求，设计并落地创新的产品方案，有效提升用户产品体验和使用效率；
2.围绕AI应用落地方向深入研究和设计，能够快速学习，拆解复杂问题并与开发同学有效配合制定解决方案，不断强化产品特点和独特的用户价值；
3.持续了解和深挖行业和用户特点，提出创新性的产品玩法，提升用户留存和活跃。
1.超强的学习能力，强烈的好奇心和探索欲，不做好不罢休的胜负欲；
2.认同并喜欢产品工作，对产品设计有饱满热情，正直善良，有良好的合作意识和沟通能力；
3.对用户高度敏感，具备扎实的用户思维，能够精准理解目标用户，并在此基础上独立思考，提出具有创新性的产品解决方案；
4.具备优秀的数据分析能力，能系统性思考、精准拆解复杂问题；逻辑清晰严谨，能有效利用数据驱动决策；
5.具备优秀的项目推动能力和执行力，能在快节奏、多变化的环境中高效工作，结果导向，敢于担当，抗压能力强；
6.三年及以上产品策划工作经验。"
营销与交易产品部-营销云AI产品经理,AI、Agent,上海,2026年07月09日,https://careers.tencent.com/jobdesc.html?postId=2042466630134558720&language=zh-cn,"1.负责营销云 AI 产品（智能体平台/AI Agent）的产品规划与设计，围绕社媒营销、内容生成、智能投放等场景，将大模型能力转化为可落地的产品方案；
2.深入理解企业营销场景和用户需求，主导需求调研、竞品分析、用户画像梳理，定义产品方向和优先级；
3.适配 CodeBuddy、Cloud Code 等 AI原生开发工具，探索 AI 原生产品协同模式，推动以 AI 为核心的产品设计与团队协作方式变革，实现需求定义、方案输出、原型验证的 AI 化提效；
4.紧跟 AI/大模型技术前沿，包括但不限于 LLM、AI Agent、RAG、多模态、harness、上下文工程等 等方向，评估新技术对产品的应用价值，将技术能力翻译为产品功能；
5.建立产品数据监控体系，通过数据分析驱动产品迭代，持续优化用户体验和商业效果。
1.本科及以上学历，计算机、人工智能、数据科学、统计学等理工科背景优先，3 年以上产品经理经验；
2.AI 产品经验必备：有大模型/AIGC/AI Agent 相关产品的完整设计和落地经验，理解 LLM 的能力边界、Prompt Engineering、Agent 工作流编排等核心概念；
3.营销领域认知：熟悉数字营销的核心链路（用户触达、内容营销、营销自动化、效果归因等），有 MarTech/AdTech/SaaS 产品经验者优先；
4.强技术理解力：能与算法和研发团队深度对话，理解模型训练、API 调用、数据流转等技术逻辑，具备基本的数据分析能力（SQL/Python 加分）；
5.出色的结构化思维：擅长将复杂问题拆解为清晰的产品方案，文档质量高，逻辑严谨；
6.自驱力与好奇心：对 AI 技术和营销行业保持高度热情，持续跟踪前沿动态，能主动发现机会并推动落地；
7.优秀的跨团队沟通和项目推动能力，能在多方诉求中找到最优解。"
腾讯云-AI Infra异构计算产品经理,AI,深圳,2026年07月09日,https://careers.tencent.com/jobdesc.html?postId=2034117546277498880&language=zh-cn,"1.负责面向AI推理场景的异构计算产品定义和规划，制定AI推理场景下的模型调优和业务部署应用平台规划，助力业务推理效率提升；
2.负责高性能训练集群产品规划工作，提升大规模AI分布式训练场景的平台加速、易用性和可观测性等产品能力；
3.持续跟踪人工智能市场发展及行业技术趋势，制定产品的长期规划；
4.指导或协助客户解决AI业务使用异构计算产品遇到的各种问题，发掘客户使用产品的潜力，输出产品解决方案。
1.本科以上学历，计算机、人工智能、数学等相关专业；
2.5年以上B端产品经理经验，有AI项目及云计算领域经验者优先；
3.熟悉数据中心GPU产品，对AI框架（Pytorch, TensorFlow等）有基本了解或使用经验，了解各类组件和库在推荐系统/CV/NLP/ASR等应用场景中的使用特点和优劣，能指导客户完成业务部署，初步分析性能瓶颈，解决各种业务层面的问题；
4.有云厂商AI产品经理经验者优先；
5.有一定的管理能力，具备丰富的产品规划和设计经验，对AI技术及行业有前瞻性战略思考；
6.清晰的逻辑分析和表达能力，乐观积极，具有较强的责任心和执行力。"
混元大模型数据策略产品经理-AI Agent / Coding方向（深圳/北京）,AI、Agent,北京,2026年07月08日,https://careers.tencent.com/jobdesc.html?postId=2059832165742592000&language=zh-cn,"1.策略设计：负责大模型在AI Agent 及多个高价值专业垂类（金融、医疗、法律、科研等多元方向皆可）的后训练数据策略，制定针对行业深度、复杂推理与交互合成等核心能力的数据体系标准；
2.链路与协同：紧密衔接算法与数据标注团队，搭建数据生产标准与质量评估体系；协同推进自动化清洗、数据合成与人工标注的高效流转，保障高质量数据的连续交付；
3.**评测与环境：针对“难求解、易验证”的复杂垂类与 Agent 任务构建科学的动态评测集（Benchmarks）；协同研发搭建前沿模型训练所需的底层验证与交互环境（Sandbox / RL Environment）。
1.经验门槛：本科及以上学历；过往必须具备 AI / 大模型相关从业经验，有 AI Agent 或高价值专业垂类方向的数据策略、系统建设或评测集构建经验者优先；
2.协作素养：深入理解大模型后训练逻辑（SFT/RLHF/数据合成）；具备极强的跨团队统筹沟通能力，能与算法专家、业务专家及标注运营团队无缝配合，快速定位并攻克数据短板；
3.工程能力：具备扎实的工程开发与自动化处理能力，熟练掌握Python；能独立编写脚本完成数据清洗、流水线搭建与自动化质检开发；
4.底层认知：具备良好的产品思维、极客精神和自驱力，对模型缺陷（Badcase）有极强的数据敏感度，英语可作为工作及技术调研语言。"
混元 AI 产品经理（北京/深圳）,AI、Agent,北京,2026年07月08日,https://careers.tencent.com/jobdesc.html?postId=2059455036769091584&language=zh-cn,"1.围绕大模型、Agent、Context、Memory、工作流、人机协作等方向，参与产品方向设计与关键路径判断； 将模型能力与用户场景结合，完成需求抽象、产品方案设计和版本推进；
2.深入理解用户在创作、决策、协同、知识沉淀、效率提升等场景中的真实需求，形成产品判断；
3.联动算法、工程等团队，推动产品高质量落地；
4.基于用户反馈、行为数据和案例分析，持续优化产品体验与核心机制；
5.对AI 产品进行评估体系的搭建和执行，能够从模型效果、任务完成度、用户价值、稳定性等维度设计评估方法，推动产品持续迭代；
6.总结 AI 产品方法论，沉淀可复用的产品认知与工作框架。
1.本科及以上学历，国内外优秀院校优先；
2.数学、计算机、工程、物理、认知科学、心理学、哲学等相关背景优先；
3.有大模型、Agent、AI 应用、Copilot、搜索/知识、工作流等相关产品经验优先；
4.有较强工程理解力，能够和算法、工程团队进行高质量协作；
5.有较强结构化思考能力，能把复杂问题讲清楚、拆明白；
6.具备 AI 产品评估意识和能力，能判断产品效果、定位问题，并推动优化闭环；
7.自驱力强，有 ownership，能在高不确定性中持续推进。"
智能体套件-高级产品经理-CodeBuddy/WorkBuddy,AI、Agent,深圳,2026年07月08日,https://careers.tencent.com/jobdesc.html?postId=2074756585305059328&language=zh-cn,"1.构建领先的智能体套件产品，进行腾讯办公与生产力效率产品能力的套件化设计，与WorkBuddy/CodeBuddy/Managed Agents产品深入融合；
2.主导智能体套件产品的路线图与客户成功路径，定义产品模块组合、能力融合与设计多种场景形态架构，应对不同场景的市场需求；
3.设计统一账号，统一管理和统一智能体任务积分消耗与供应体系，支撑套件体验优化与升级；
4.设计匹配版本的权益区隔，统一套件商业化定价成本逻辑与售卖策略；
5.串联研发、设计、销售和解决方案等团队，不断推动套件产品的商业化结果落地；
6.备注：base地可选深圳/北京/上海。
1.5 年以上SaaS/企业级产品经验，其中 ≥2 年负责付费商业化产品；
2.深度理解企业协同办公协同工具或企业级 AI/智能体平台至少一类，熟悉其产品形态与商业逻辑；
3.有 LLM 应用、Agent / RAG、智能体编排、MCP / 工具调用相关产品经验；
4.具备复杂产品定义与体系设计能力，能为SKU 定义、版本权益分层、定价/计费负责；
5.优秀的结构化思维、跨团队推动力与沟通能力，能独立主导调研、设计和落地闭环。"
微信输入法-AI产品经理,AI、Agent,广州,2026年07月08日,https://careers.tencent.com/jobdesc.html?postId=1978467627152072704&language=zh-cn,"1.负责微信输入法 AI 方向的产品策划，围绕大语言模型（LLM）、Agent、多模态交互、语音识别与合成（ASR）等前沿技术，探索 AI 在文字输入、智能表达、语音交互、内容创作等核心场景的创新落地方案；
2.深度挖掘用户在输入全链路中对 AI 的真实需求和使用场景，设计端到端的产品解决方案并推动落地，持续提升输入效率与表达体验；
3.结合业务目标定义模型效果标准和评测体系，协同算法、工程、设计团队进行模型迭代优化与数据飞轮建设；
4.持续跟踪大模型与 AI 交互领域的前沿趋势及竞品动态，提出创新性产品策略，强化微信输入法的 AI 产品心智。
1.较强的学习能力和好奇心，对 AI 和大模型技术有深刻理解与热情，能快速跟进前沿研究并转化为可落地的产品方案；
2.有 C 端 AI 产品经验，熟悉 LLM、Agent、多模态交互、语音交互（ASR）等至少一个方向的产品化落地；有 AI 评测体系搭建、策略产品经验者优先；
3.较好的用户思维，对用户输入行为、表达需求和交互体验有敏锐洞察，能通过数据分析和用户研究驱动产品决策；
4.出色的系统性思考与问题拆解能力，逻辑清晰，能独立负责复杂产品模块的从 0 到 1；
5.对文字、语音、内容创作等场景有审美和感受力，能结合用户真实使用场景为模型制定贴合需求的任务目标与效果标准；
6.优秀的执行力与推动力，能高效协同算法、工程、设计、测试等多角色团队，抗压能力强；
7.一年及以上产品工作经验；曾经有算法工作经验的同学优先。"
企业微信-产品经理-AI智能机器人,AI,广州,2026年07月08日,https://careers.tencent.com/jobdesc.html?postId=1985253844522782720&language=zh-cn,"1. 负责企业微信AI智能机器人相关产品策划工作，具体包括但不限于功能的策略制定、功能设计及推动上线；
2. 主要负责企业场景下的智能体搭建服务，包括企业应用服务、数据与AI的结合，提供产品解决方案；
3. 持续了解企业AI应用场景，与更多生态伙伴合作，帮助用户解决问题并为企业微信带来增长。
1. 在产品功能策划上有一定经验和能力，愿意投身toB领域；
2. 沟通能力好，善于观察和分析，具备很好的逻辑抽象、框架思考以及技术理解能力；
3. 有AI相关背景优先。"
