岗位,命中关键词,地点,发布时间,URL,JD
小爱车载语音高级产品经理,AI,北京,2026-07-10 19:28:52,https://xiaomi.jobs.f.mioffice.cn/index/position/7660857193759721782/detail,"1、负责车载端智能助手终端的整体体验，深入理解用户使用场景，定义智能助手的整体交互框架，横向拉通核心功能在车端落地的规范。
2、负责车载智能助手中长期产品规划与创新探索，结合AI技术发展趋势和用户场景演进，识别重点场景机会，规划下一代智能助手体验方向
3、负责推动车载智能助手整体功能落地后的体验评估体系建设、质量运营及持续优化，保障用户体验和产品竞争力。
1、本科及以上学历，5年以上产品经验，具备AI产品和座舱终端交互经验，负责过中大型产品，能够带领团队完成高质量产品交付。
2、具备智能助手、对话式AI、座舱OS等方向的产品落地经验。对AI新技术有深入了解，能够快速识别新技术带来的产品创新机会，对OS底层技术有一定的了解，能够与算法、研发团队高效沟通。
3、具备优秀的用户洞察能力和数据驱动的决策能力，能基于用户需求和行为分析制定产品优化策略。
4、希望你积极乐观，质朴简单，承压能力强。乐于高质量沟通，有职业理想，对做出成功产品有高度的向往和驱动力。"
高级产品经理（行政方向）,AI、Agent,武汉,2026-06-22 11:42:43,https://xiaomi.jobs.f.mioffice.cn/index/position/7654059093745715498/detail,"1. 负责行政管理相关产品规划与落地，包括办公空间管理、会议室预定、访客管理、行政流程数字化等场景。
2. 主导员工资产管理产品体系搭建，覆盖资产全生命周期（采购、入库、领用、调拨、盘点、报废）。
3. 推动园区智能化产品建设，包括智慧楼宇、能耗管理、安防监控、通行管理等场景的产品设计与迭代。
4. 深入理解行政与园区业务痛点，结合 AI Agent 能力构建智能化解决方案，提升运营效率。
5. 与工程、IT、行政等多团队协同，推动产品从 0 到 1 落地并持续优化。
1. 本科及以上学历，5-8 年产品经验，其中 5 年以上行政管理、园区智能化或员工资产管理相关领域经验。
2. 对 AI Agent 有实践经验，了解 Agent 编排、工具调用、多轮对话等核心概念；有 FDE（现场部署工程师） 协作模式经验者优先。
3. 具备从 0 到 1 的产品搭建能力，能独立完成需求分析、方案设计到交付落地全流程。
4. 优秀的跨部门沟通与项目推动能力，能协调多方资源推进复杂项目落地。
5. 有智慧园区、IoT、地产科技相关经验者优先。"
高级产品经理（资产、工程管理方向）,AI、Agent,武汉,2026-06-22 11:42:38,https://xiaomi.jobs.f.mioffice.cn/index/position/7654058914586036523/detail,"1. 负责企业资产管理产品规划，涵盖资产台账、资产运营、资产处置等核心模块，实现资产数据透明化与精细化管理。
2. 主导工程管理产品建设，包括工程项目立项、进度跟踪、验收结算、供应商协同等场景的产品设计。
3. 推动财务与资产融合的业务场景落地，如资产折旧、预算管控、成本分摊、费用报销等，打通资产-工程-财务数据链路。
4. 运用 AI Agent 能力构建智能化业务助手，实现自动化审批、智能对账、异常预警等场景。
5. 与财务、工程、资产等业务部门深度协作，梳理业务流程，输出产品方案并推动落地。
1. 本科及以上学历，5-8 年产品经验，其中 5 年以上资产管理、工程管理或财务产品相关领域经验。
2. 对 AI Agent 有实践经验，了解 Agent 工作流编排、数据驱动决策等能力；有 FDE（现场部署工程师） 协作模式经验者优先。
3. 熟悉资产全生命周期管理、工程项目管理或企业财务流程中至少两个领域。
4. 具备较强的业务抽象能力，能将复杂跨领域业务转化为清晰的产品方案。
5. 有 ERP、EAM、财务系统或工程建设平台产品经验者优先。"
大模型产品经理-小爱,AI、Agent,北京,2026-06-11 12:01:08,https://xiaomi.jobs.f.mioffice.cn/index/position/7649982224573516073/detail,"1、参与小爱云端大模型版本的产品规划与节奏定义，包括 Agent Loop、慢系统场景、记忆等核心模块；
2、负责三方生态接入与打造，设计相关 Skill/服务的接入框架：标准协议、准入规范、质量评估体系；
3、结合Agent Harness 的能力边界&演进节奏，运用三方能力推动重点场景范式迭代与体验升级，包括但不限于影音娱乐、通勤出行、生活服务 等垂类
1、5 年以上互联网产品经理经验，3 年以上 AI产品经理经验，深刻理解 LLM Agent 相关原理；
2、成熟使用AI相关工具，并了解 MCP或类似 Agent-Tool 协议设计；
3、具备相关垂类建设经验，并对用户体验有极高敏感度；"
业财产品经理,AI、Agent,北京,2026-06-09 17:44:01,https://xiaomi.jobs.f.mioffice.cn/index/position/7649328754079205673/detail,"1. 独立负责业财领域的产品规划、迭代路线图与优先级把控，对业务域的数字化交付结果负责
2. 深入业务一线洞察财务流程痛点和数字化机会，转化为可落地的产品方案
3. 主导 AI 能力在财务场景的探索与落地，识别可被 AI 重塑的业务环节，推动从原型验证到规模化应用
4. 独立完成需求调研、PRD、原型设计、跨团队评审、UAT 验收及上线后效果评估全流程
5. 主导跨业务部门方案对齐，协同上下游系统与工程团队，沉淀业财一体化领域方法论与可复用资产
1. 本科及以上，计算机/信息系统/财务/会计相关专业优先，5年以上财务领域产品经验
2. 熟悉至少1-2款主流Agent平台，如Claude Code、Codex等，能独立设计复杂场景的Skill与Agent工作流；主动探索 AI 能力在财务数字化场景的落地，具备Vibe Coding能力，端到端独立完成从需求到交付的全链路闭环
3. 熟悉基础财务概念和企业财务管理流程，具备财务/销服业财一体化系统相关产品设计与落地经验，有互联网、零售、汽车行业财务产品经验者优先
4. 思路清晰、逻辑性强，有良好的沟通表达与组织协调能力，积极主动，能在多项目并行和需求变化中保持交付节奏"
Agent评测产品经理,AI、Agent,北京,2026-06-03 20:15:02,https://xiaomi.jobs.f.mioffice.cn/index/position/7647141363553454362/detail,"1. 建设 Agent 评测体系：深入理解 Agent 在复杂真实场景下的能力边界，系统性构建涵盖多场景、多模态、多任务类型的评测方法论，将""效果好不好""转化为科学、可量化的能力度量体系。
2. Benchmark 研究与产出：持续跟踪国内外 Agent 评测领域前沿，主导设计具有挑战性与行业影响力的 Benchmark，推动在小米内外部建立影响力。
3. 数据驱动产品迭代：将评测洞察转化为高质量训练数据与产品优化方向，驱动产品与模型的持续演进。
4. 跨职能协同：作为评测方向的核心角色，与算法、产品、工程等多团队深度协作，以评测视角影响产品决策。
1.基础要求
-本科及以上学历，计算机、数学、统计或相关专业优先
-5 年以上相关工作经验，有 AI 产品或大模型领域背景优先
-对 Agent 技术方向有深入理解，能够独立判断评测方案的合理性与完整性
2.加分项
-熟悉主流 LLM / Agent Benchmark，有独立研究或复现经验
-有评测数据集构建或训练数据标注体系设计的实际经验
-有车载、IoT、手机 AI 助手等 AI 场景的从业经历
3.素质要求
-有强烈的产品直觉，能在技术语言与用户场景之间自由切换
-主动性强，能在方向模糊的环境中自驱推进，有强目标感
-对 AI 能力边界保持好奇心，热衷于深究""模型为什么在这里失败"""
AI数据产品经理,AI、Agent,北京,2026-04-30 17:22:41,https://xiaomi.jobs.f.mioffice.cn/index/position/7634479159755213106/detail,"1.Data Agent 产品规划与设计：负责智能分析平台整体规划及落地
2.龙虾运营看板产品设计：与数据研发协作，完善使用/体验/成本/Skill 四块看板，建立任务质量分级体系（L1-L4）、留存粘性指标、ROI 衡量模型
3.指标口径治理：主导 Ontology 体系建设，推动指标定义标准化，确保 Agent 和看板使用统一语义
4.数据质量闭环：数据治理及数据监控数据异常艰苦及分析，推动问题从发现→归因→修复→验证全流程闭环
5.NL2SQL 体验优化：优化自然语言取数准确率（目标 ≥90%），设计多轮追问、上下文补全、指标语义映射等核心体验
6.跨团队协同：对接算法（Agent 编排）、研发（平台开发）、数据团队（数仓/ETL）、业务方（需求验证），确保方案高效落地
1.经验：3-5 年产品经理经验，其中至少 2 年数据产品/BI/数据平台相关经验
2.数据基础：熟悉数据仓库体系（维度建模、指标体系），能写 SQL，理解 ETL 流程
3.AI 认知：了解 LLM 基本原理与能力边界，理解 Prompt Engineering、RAG、Agent 编排等概念
4.产品能力：优秀的需求分析与 PRD 撰写能力，能独立完成从 0 到 1 的产品设计
5.沟通力：出色的跨团队沟通协调能力，能与算法/研发/数据团队高效对话"
AI创新硬件产品经理,AI、Agent,北京,2026-04-16 16:34:03,https://xiaomi.jobs.f.mioffice.cn/index/position/7629270952027998507/detail,"依托小米人车家全生态场景，孵化酷、实用、能引领行业风向的AI创新硬件产品，覆盖大语言、语音、多模态、Agent等方向，亲手打造有影响力的核心创新产品。
岗位职责
1. 聚焦小米人车家全场景，挖掘AI与硬件结合的创新点，主导AI创新硬件产品从原型到落地的全流程。
2. 结合最新AI技术（大语言、多模态等），打造差异化、体验感突出的新奇酷产品，探索AI硬件新形态、新场景。
3. 联动研发、算法等团队，高效推进产品落地，把控产品创新度与体验感，解决研发过程中的核心问题。
4. 跟踪国内外AI技术及产品动态，将前沿技术融入产品设计，确保产品具备行业引领性。
1. 本科及以上学历，计算机、人工智能等相关专业，3年左右工作经验优先，背景不限（产品、前后端、硬件工程皆可）。
2. 强动手能力，有通过AI工具（如Claude Code、Codex）编写完整前后端产品Demo的实际经验，独立硬件开发者、业余开发爱好者优先。
3. 重度AI产品使用者，对国内外最新AI技术进展和新产品有深度理解及一手体验。
4. 乐于折腾，好奇心强，有强烈的Ownership，愿意亲手打造有影响力的好产品。
加分项：
- 对国内外最新的AI技术进展和新产品有深度理解和一手体验，重度AI产品使用者
- 熟悉各种开源的AI硬件项目
- 有AI硬件项目的创业经验或DIY经验，各种形态AI硬件产品的大玩家"
AI数据产品经理,AI、Agent,北京,2026-03-31 19:17:21,https://xiaomi.jobs.f.mioffice.cn/index/position/7623377275450312996/detail,"核心职责
1.产品规划与设计：负责 Data Agent 产品整体规划，制定产品路线图（P0智能查数 → P1自动诊断 → P2智能洞察 → P3闭环自治），输出高质量 PRD。
2.AI Agent 产品定义：设计五大 Agent（意图识别/查询/分析/预警/洞察）的能力边界、交互流程与协作机制。
3.NL2SQL 体验优化：持续优化自然语言到SQL的转换准确率（目标≥90%），设计指标语义映射、上下文补全、多轮追问等核心体验。
4.用户场景落地：深入业务一线，将智能取数、自动报表、根因诊断、趋势预测、异常告警等场景打磨为可用产品。
5.数据资产治理：参与 Ontology体系建设，推动指标口径标准化、知识图谱构建，为 Agent 提供高质量语义基座。
6.跨团队协同：对接算法、研发、数据分析团队，确保产品方案高效落地；与业务方保持紧密沟通，验证产品价值。

延伸职责
1.竞品分析：跟踪业界 AI+数据分析产品动态（如 ThoughtSpot、Databricks AI/BI、阿里 DataAgent 等）。
2.效果度量：建立产品效果评估体系（准确率、响应时间、用户满意度、取数替代率等）。
3.内部推广：推动产品在业务团队的试用与推广，收集反馈迭代。
1.3-5年产品经理经验，其中至少 2年数据产品/BI/数据平台 相关经验。
2.熟悉数据仓库体系（维度建模、指标体系），能写 SQL，理解 ETL 流程。
3.了解 LLM 基本原理与能力边界，理解 Prompt Engineering、RAG、Agent 编排等概念。
4.优秀的需求分析与 PRD 撰写能力，能独立完成从 0 到 1 的产品设计。
5.出色的跨团队沟通协调能力，能与算法/研发团队高效对话。"
AI Agent 产品经理,AI、Agent,北京,2026-03-31 15:38:29,https://xiaomi.jobs.f.mioffice.cn/index/position/7623320138863642922/detail,"本岗位聚焦企业级 Agent 解决方案，面向企业业务部门的效率提升场景，识别高价值Agent应用场景，制定产品路线图
1. 深入业务部门调研提效需求，识别高价值 Agent 应用场景，制定产品路线图定义 Agent 技能优先级（Skills Backlog）和记忆策略，撰写 PRD 并推动落地
2. 深度研究 Manus、Genspark、OpenClaw、Perplexity 等竞品 Agent 产品，输出竞品分析报告（功能拆解、交互体验、核心差异）
3. 设计 Agent 交互流程与对话脚本，协调算法、开发、业务团队协作
4. 建立提效指标体系，联动评测工程师追踪 Agent 质量与用户满意度，数据驱动迭代
5. 编制 Agent 使用培训材料，协助赋能全员高效使用
1. 本科及以上学历，3 年以上产品经理经验，有企业效率工具 / SaaS / To B 产品经验优先
2. 理解 AI Agent 技术栈，了解 Agent Loop、Memory、Skills、MCP 等核心概念，了解 LangChain / LangGraph 等传统 Agent 框架的能力边界，能与技术团队高效沟通技术方案
3. 深度使用过 Manus、Genspark、ChatGPT、Perplexity 等 AI Agent 产品，对Agent 交互体验有敏锐洞察
4. 熟悉飞书生态，有飞书应用或机器人产品设计经验者优先
5. 理解大模型应用逻辑与能力边界，能将 AI 能力转化为可落地的产品方案，具备商业化思维强，执行力强，结果导向
6. 能运用 AI Coding 工具辅助产品构建者加分"
