岗位,命中关键词,地点,发布时间,URL,JD
ATH事业群-平台产品经理（AI手机）-杭州,AI,杭州,2026-07-13 16:55:40,https://careers.aliyun.com/off-campus/position-detail?positionId=100015503016,"1、主导产品迭代：主导手机标准化解决方案的功能设计、版本规划与迭代节奏，联合设计、研发、算法团队推动产品持续演进，为版本质量与线上体验负责。
2、建设平台基建：负责数据埋点、质量评审、线上实验、版本看护等平台基建能力建设，保障软件线上平稳运行，并为业务侧提供高效的数据与实验支撑。
3、推动厂商交付：对接其他手机厂商客户的合作需求，在平台视角完成需求定义、技术架构梳理与交付方案设计，完成落地并建立长期维护机制。
1、本科及以上学历，计算机相关专业优先，2 年及以上助手类 / 对话型大模型产品相关经验。
2、具备较强的逻辑思维、数据分析与产品策略判断能力，能统筹和推动复杂项目落地。
3、有技术背景或了解 Android 端开发的技术架构者优先，能与研发就发布、灰度、线上治理等平台机制高效对话。
4、具备用户同理心与需求洞察力，擅长从数据 / 反馈 / 一手体验中发现有价值的产品改进机会。
5、对 AI 领域有强烈兴趣，愿意长期投身于大语言模型与通用智能助手方向的探索。
加分项
1、有平台型产品经验（埋点平台、实验平台、发布 / 灰度平台等）。
2、有手机厂商 / OS 助手的交付或对接经验。
3、具备基础编码能力（Python / SQL），能自主完成数据分析与验证。"
ATH事业群-Agent评测产品经理（AI手机）-杭州,AI、Agent,杭州,2026-07-13 16:51:53,https://careers.aliyun.com/off-campus/position-detail?positionId=100015563024,"1、从用户视角定义产品体验，并细化到对模型效果的理想态定义和评测标准制定；
2、负责构建大模型在手机真实应用场景下的效果评估体系，产出稳定可信的评测结论；能够从用户反馈、模型行为观察、研究侧目标中提炼评估方向，并提出可落地的模型能力提升与应用体验优化策略，推动模型和产品迭代；
3、与研发、算法、用户产品等团队紧密协作，基于线上观测、实验结果和用户访谈，识别模型缺陷与改进机会，并给出可执行的优化方向与评估策略；
4、负责推动跨团队协作闭环，统筹评估目标、资源优先级与落地节奏，确保关键模型行为、风险点、用户体验问题能够被快速验证、追踪与优化；
5、持续跟进业界评测研究与方法论，结合真实业务场景迭代方案，探索更反映真实用户体验和价值的评测方法。
1、本科及以上学历，2年以上模型策略/评测/数据产品相关经验，熟悉LLM/多模态/Agent产品评估者优先；
2、具备结构化分析能力，能够从复杂的模型行为中提炼本质问题，并将模型能力、用户需求与产品指标连接起来；
3、对数据和指标体系敏感，能基于实验、日志、线上表现快速定位模型问题，并熟练制定合理的验证方案与评测集；
4、对AI技术发展、Agent体系有兴趣或基础理解，愿意阅读最新研究论文/直接体验产品，并将其转化为评估与产品改进思路；
5、具备自驱力和结果导向，能跨算法/数据/研发对齐指标、节奏和交付，推动闭环落地。"
ATH事业群-KA产品经理（AI手机方向）-杭州/深圳,AI、Agent,深圳 / 杭州,2026-07-13 16:30:53,https://careers.aliyun.com/off-campus/position-detail?positionId=100015503015,"1、主导厂商对接全流程：作为对接合作手机厂商的产品负责人，完成需求梳理、方案设计、项目排期、落地交付、验收上线全流程，对项目结果与客户满意度负责。
2、牵头解决方案设计：基于厂商的机型、系统、AI 助手形态与业务诉求，联合内部产品、算法、研发团队输出可执行的 定制解决方案，评估技术可行性、业务匹配度与合规风险，制定优先级与里程碑。
3、推动跨组织协同：处理厂商需求变更、内部资源冲突、跨团队卡点等复杂情况，主动识别风险并拉齐各方，保障项目按时、按质、按预算交付。
4、建立长期运营机制：制定项目上线后的版本维护、数据监控、问题响应与迭代升级流程，保证多家厂商线上产品体验长期稳定，并持续挖掘增量合作机会。
5、沉淀方法论与标准化：结合多个厂商项目经验，抽象出通用的需求模板、交付流程、评测标准与合作 SOP，推动团队合作能力的规模化与标准化。
1、本科及以上学历，计算机、通信、人工智能、软件工程等相关专业优先。
2、3 年及以上产品经理经验，具备 B 端 / 生态 / 厂商合作类产品的完整交付经验，独立负责过至少一个中大型合作项目从 0 到 1 落地。
4、对 AI / 大模型 / Agent 类产品有清晰的认知，能够将模型能力翻译为厂商可理解、可交付的产品方案。
5、具备多项目并行管理能力，能够把控进度、风险、质量与预期，熟悉需求管理、排期管理、变更管理等常用项目管理方法。
6、优秀的结构化表达与跨组织沟通能力，能够在厂商高管、业务方、内部技术团队之间高效对齐。
7、强责任心、结果导向，具备良好的商务意识与契约精神，能够承担面客压力和交付压力。"
ATH事业群-Agent策略产品经理-AI手机,AI、Agent,杭州,2026-07-13 16:03:32,https://careers.aliyun.com/off-campus/position-detail?positionId=100015643022,"1、主导 Agent 主链路策略：负责手机解决方案中 Agent / 模型效果的持续优化，覆盖意图分类链路、记忆链路、Skill 体系、工具集编排等核心模块，为链路端到端效果负责。
2、完成复杂策略方案设计：理解 AI 技术的能力边界与发展趋势，结合用户需求与业务场景，独立完成复杂产品策略的方案设计，将模糊的用户价值翻译为清晰、可执行的模型与产品策略。
3、驱动模型效果迭代：基于业务目标搭建评测体系、定义模型训练的理想数据集与标注规范，与算法、标注、研发团队紧密协作，通过实验设计与快速迭代持续提升模型效果与线上表现。
4、持续洞察用户与优化体验：通过评测数据、线上分析、一手体验、用户调研等多种方式深度洞察用户需求，不断完善对场景与用户的认知，制定并推动相应的迭代策略，持续提升 Agent 体验。
1、本科及以上学历，2 年及以上策略 / LLM / Agent 产品经验，有 Agent 主链路（意图、记忆、工具、Skill 等）构建或优化经验者优先。
2、理解大模型能力边界与主流 Agent 框架，能与算法团队就 Prompt、工具编排、评测集、Badcase 归因等具体策略进行深度协作。
3、具备较强的逻辑思维、数据分析与产品策略判断能力，能基于数据与实验结果快速形成决策并推动落地。
4、对手机端用户需求有场景深入洞察
5、具备统筹和推动复杂项目落地的能力，能在算法、数据、研发等团队之间对齐目标与节奏。
6、对 AI 领域有强烈兴趣，对新技术保持敏锐关注，愿意长期投身于大语言模型与通用智能助手方向的探索。
加分项
1、有C端用户垂直场景的设计和增长经验。
2、熟悉 Prompt 工程、Function Calling、RAG、记忆机制等 Agent 核心技术方向。
3、具备基础编码能力（Python / SQL），能自主完成数据分析或简单原型验证。
4、有手机厂商 / OS 助手 / 头部 C 端 AI 产品背景。
5、好奇心与动手能力强，是各类 AI 产品的重度体验者。"
ATH事业群-AI短漫剧产品经理-AIGC团队,AI、Agent,北京 / 杭州,2026-07-10 14:16:34,https://careers.aliyun.com/off-campus/position-detail?positionId=100015563009,"1. 深入理解AI短漫剧用户分层需求——包括影视剧公司、专业创作者、泛内容生产者、普通消费者等不同群体的使用场景与产品范式，据此设计差异化的功能策略与体验路径。
2. 持续跟踪 AIGC 领域的前沿技术进展，将技术理解转化为可落地的产品定义和功能方案。
3. 与算法、工程、设计团队紧密协作，推动产品功能的高效开发与交付
4. 建立产品效果评测与数据反馈体系，通过数据驱动的方式持续优化生成效果和用户体验。
1. 本科及以上学历，计算机科学、设计、数字媒体或相关专业优先。
2. 3 年以上产品经理经验，有 AI 图像/视频/Agent或创作工具类产品经验，对创作者的工作流和痛点有深入理解。
3. 对图像/视频市场有清晰认知，理解不同用户群体的需求特征与产品范式差异；
4. 理解主流模型的能力边界和适用场景；对 AIGC 技术有持续学习热情，有敏锐的产品嗅觉。
5. 具备优秀的跨团队沟通与项目推动能力，能够在算法、工程、设计多方之间高效协同。
6. 有成功从 0 到 1 打造产品的经验者优先"
阿里云智能-AI Agent 产品经理-秒悟-杭州,AI、Agent,杭州,2026-07-07 11:20:00,https://careers.aliyun.com/off-campus/position-detail?positionId=100007603004,"我们正在打造面向下一代开发者与知识工作者的 AI 原生产品，覆盖 Vibe Coding（AI 驱动的自然语言编程）与 AI 协同办公两大场景。

将负责
● AI产品设计：从用户视角出发，主导 AI Coding 产品的体验设计与持续优化，推动需求从洞察到上线的全流程闭环
● Agent 场景评测与梳理：与研发团队深度协作，梳理 Agent 相关应用场景，拆解 AI 对话流程中的关键环节，识别体验瓶颈并提出可落地的优化方案
● 模型能力评估：持续跟踪各类大语言模型的应用表现与前沿动态，为产品的模型选型与能力集成提供专业判断
● 数据驱动迭代：建立产品核心指标体系，通过数据分析驱动产品决策，持续提升用户留存与使用深度
● 从用户视角参与AI Coding相关产品体验设计与优化，推进需求上线
● 熟悉各类大语言模型的应用表现（不只是Coding相关模型），有自己独特的品味
● 协同&抗压能力强
● Data-driven，良好的数据思维
加分项
● 强烈的好奇心、细节控
● 能说出为什么claude code比cursor好用or难用
● 计算机相关背景更优，熟练掌握AI Coding如Figma Make等AI原型设计工具
● 有vibe coding经验，自己独立vibe coding过简单产品，能从用户视角深度理解 Vibe Coding 的体验与痛点"
阿里云智能-AI Native 应用产品经理 - AI Coding / Agent 方向-专有云（北京&杭州）,AI、Agent,北京 / 杭州,2026-07-06 17:18:02,https://careers.aliyun.com/off-campus/position-detail?positionId=100015463012,"岗位职责
1. 产品规划与方向定义
● 负责 AI Native 应用方向的产品规划，重点围绕 AI Coding、Code Agent、研发智能体、企业知识管理智能体 等场景，定义产品定位、目标用户、核心场景、版本路线图和商业化路径。
● 面向专有云客户的真实业务环境，识别高价值、高频、可验证的 AI 应用场景，判断哪些能力适合标准产品化，哪些能力适合行业模板化，哪些能力适合项目定制化。
● 跟踪国内外 AI Coding、Code Agent、Developer Tools、Agent Infra、LLMOps、Agent-Eval 等方向的发展趋势，形成产品洞察和竞争分析。
2. AI Coding / Code Agent 产品设计
● 负责 AI Coding 类产品的核心能力设计，包括但不限于：代码库理解、研发知识问答、需求到任务拆解、代码生成、代码重构、单测生成、缺陷修复、变更解释、迁移改造、运维排障等。
● 设计 Code Agent 的完整任务链路，包括用户意图识别、上下文构建、工具调用、计划生成、代码修改、测试验证、结果解释、人工确认、权限控制与回滚机制。
● 围绕企业级研发流程，打通代码仓库、制品库、CI/CD、缺陷管理、需求管理、文档知识库、权限系统、审计系统等工具链。
3. Agent 工程能力产品化
● 将大模型、RAG、Function Calling / Tool Use、Workflow、Memory、Multi-Agent、评测系统、可观测性、安全护栏等技术能力，转化为可被业务用户和研发团队使用的产品能力。
● 定义 Agent 的运行机制和产品边界，包括任务规划、工具编排、上下文管理、权限模式、人机协同、失败恢复、日志追踪、结果验收等。
● 与相关团队协同，推动从 Demo / PoC 到生产级产品的演进。
4. 专有云场景落地
● 深入理解专有云、私有化部署、数据不出域、权限隔离、信创适配、安全合规、离线环境、客户侧交付等场景约束。
● 面向政企客户、行业客户、内部研发团队开展需求调研、场景共创、PoC 验证和产品化沉淀。
● 将项目交付过程中的共性需求抽象为标准能力、行业模板、最佳实践和产品包，提升复制效率。
5. 评测、指标与闭环
● 建立 AI Coding / Agent 产品的效果评估体系，包括任务完成率、代码采纳率、一次通过率、测试通过率、缺陷修复率、节省工时、用户留存、客户满意度等指标。
● 设计离线 Benchmark、真实任务集、客户验收标准、灰度评估机制和反馈闭环，解决 Agent 产品“能跑”到“可靠、可控、可交付”的问题。
● 联动算法和工程团队，基于真实用户反馈、失败样本、日志数据，持续优化模型效果、工具链设计和产品体验。
6. 商业化与解决方案包装
● 参与 AI Native 应用的产品包装、版本规划、定价策略、解决方案材料、标杆案例和客户汇报。
● 将 AI Coding / Agent 能力从单点工具，升级为面向行业客户的“研发提效、软件现代化、知识资产沉淀、工程能力升级”解决方案。
任职要求
基础要求
● 本科及以上学历，计算机、软件工程、人工智能、信息管理、自动化等相关专业优先。
● P7：5 年以上产品经验，具备独立负责复杂产品模块或 0-1 产品落地经验。
● P8：8 年以上产品经验，具备复杂产品线、平台型产品、ToB 商业化或跨团队产品负责人经验。
● 有云计算、开发者工具、DevOps、低代码/平台工程、AI 产品、大模型应用、企业软件、研发效能平台等相关经验之一。
技术理解要求
● 理解软件研发流程和工程工具链，熟悉需求、代码、测试、构建、发布、运维、缺陷管理等 SDLC 环节。
● 熟悉大模型应用基本原理，理解 Prompt / Context Engineering、RAG、Tool Use、Function Calling、Workflow、Memory、Agent、模型评测等概念。
● 对 AI Coding 产品有实际使用或设计经验，熟悉 Cursor、Claude Code、Codex、GitHub Copilot等产品者优先。
● 能够与算法、工程、架构团队进行有效技术讨论，能把复杂技术能力转化为清晰的产品方案、验收标准和用户价值。
产品能力要求
● 具备强需求洞察和抽象能力，能够从客户项目中提炼共性能力，并沉淀为标准化产品。
● 具备较强的结构化表达能力，能够输出高质量 PRD、产品路线图、指标体系、竞品分析、解决方案材料和客户汇报材料。
● 具备数据驱动意识，能够围绕非确定性 AI 产品建立效果评估、反馈闭环和持续迭代机制。
● 具备强 Owner 意识，能在高度不确定的新产品方向中推动跨团队协作和结果落地。
ToB / 专有云要求
● 有企业级产品、云产品、私有化部署、政企客户、金融/能源/运营商/政府等行业客户经验优先。
● 理解企业客户对安全、权限、审计、稳定性、可运维、可交付、可验收的要求。
● 能适应从客户共创、POC、交付落地到产品化沉淀的完整 ToB 产品节奏。"
ATH事业群-AI 产品经理 （MaaS网站方向）-杭州/北京,AI,北京 / 杭州,2026-07-03 14:15:16,https://careers.aliyun.com/off-campus/position-detail?positionId=100015623017,"团队介绍：
MaaS（Model as a Service）网站产品团队致力于打造行业领先的模型即服务平台，为开发者和企业客户提供模型发现、部署、调用、评测及管理的一站式体验。我们相信大模型将重塑软件开发与业务创新的方式，而一个优秀的 MaaS 平台是连接模型能力与用户应用价值的核心桥梁。

1. 竞争分析与行业洞察：持续跟踪国内外 MaaS 平台的产品动态与竞争策略关注大模型技术前沿，输出竞品分析与产品洞察，将技术趋势转化为平台产品机会
2. 平台产品规划与设计：负责 MaaS 网站平台的整体产品规划与路线制定，产品设计与持续迭代，设计平台化的产品架构与交互方案，构建模型发现 → 评估 → 部署 → 调用 → 监控的完整用户旅程。
3. 模型生态与开发者体验：从个人和企业开发者视角出发，规划并优化各类模型接入和服务，支撑开源模型、自研模型、三方模型等多元模型生态的高效运转；持续优化 API 文档、SDK 、Playground 、Skills 等开发者工具使用体验。
4. 商业化与增长：参与 MaaS 平台的商业化策略制定，设计模型计费、资源套餐、用量计量等商业化产品能力。建立产品核心指标体系，通过数据分析驱动产品决策与增长。
5. 跨团队协作：建立与横向团队紧密协同，并与工程、算法、设计、运营、解决方案等团队纵向协作，推动产品从设计到上线应用的全流程闭环。
1、3 年以上互联网产品经理工作经验，其中至少 1 年 AI 相关产品经验；
2、有平台型产品的规划与落地经验，理解平台型产品的设计逻辑与生态运营思路；
3、实际大量使用主流 AI 推理云平台或AI产品/工具，对主流模型和主流AI产品使用有深度的实战理解；
4、具备良好的数据思维，能够通过数据分析驱动产品决策，有搭建指标体系的经验；
5、具备良好的跨团队沟通协作能力，能推动多方协同的复杂项目顺利落地；

加分项
1、有过开发者平台、API 产品、控制台等技术产品的产品经理经验；
2、有计算机或相关技术背景，曾有研发类工作经历或开发能力；
3、有对于新范式 AI 产品的实践或思考心得；
4、有独立个人或协同小团队闭环开发产品项目的经验；
5、有 Ownership 意识，抗压能力强，能在快速变化的业务环境中找到突破点；
6、英文读写能力优秀，能独立撰写英文产品文档，能和海外开发者进行沟通交流；
7、有海外工作生活或国际化产品相关的经历。"
阿里云智能-AI原生数据库产品经理-北京/杭州,AI、Agent,北京 / 杭州,2026-06-26 00:00:00,https://careers.aliyun.com/off-campus/position-detail?positionId=100014403005,"● 面向Agent，负责AI原生数据库的产品需求分析、功能规划，输出PRD、原型设计及定价策略等；
● 负责数据库重大项目的项目管理，制定项目计划、里程碑和交付节奏，跟踪并解决项目阻塞问题，确保按时高质量交付；
● 以AI原生的方式（团队内部同时有Agent和人），协调研发、测试、运维、安全等多团队资源，推动跨团队协作与风险管控。
● 3-5年产品与项目管理经验，有数据库、云计算或企业级B端产品背景；有Agent相关产品经验者优先；
● 具备较强的项目管理能力，能独立推进中型项目落地，熟悉敏捷开发流程逻辑清晰、沟通能力强，具备跨团队协作和复杂问题拆解能力；
● 对云计算产品（AWS、Azure或GCP）和云原生技术如K8s、容器等技术有深入的理解；
● 了解主流国产芯片/操作系统/中间件生态产品；
● 熟悉数据库技术（MySQL\Redis\PostgreSQL），以及Agent Runtime、Context Engineering、Harness Engineering等技术者优先；有过Data Agent规划、开发、应用经验者优先。"
ATH事业群-产品经理-AI应用（杭州/北京）,AI、Agent,北京 / 杭州,2026-06-24 11:42:20,https://careers.aliyun.com/off-campus/position-detail?positionId=100015523014,"产品规划
•通过市场分析，洞察市场机会和技术发展趋势、市场容量和竞争格局，定义细分市场。
•通过竞对分析，识别产品、架构、技术和价格等方面优劣势，制定竞争策略。
•通过调研，洞察用户和客户场景、需求。
•负责产品生命周期和发展路线、商业化策略规划。
•盘点研发人力，判断产品需求优先级，制定产品路标。
产品设计
•理解和抽象客户需求，分析客户场景，负责产品定义、功能和用户体验设计，输出PRD。
•协调研发团队完成产品的开发和测试，完成产品功能上线。
•基于对产品价值和成本的理解，参与价格策略制定和产品定价建议。
产品经营支持
•制定业务拓展策略，制定关键GTM指标，和PdSA共同制定拓展计划，跟踪产品市场表现和竞品情况，通过数据化经营分析提出产品经营改进建议。
•制定生态发展规划，结合产品力、产品优势场景及伙伴能力图谱，为产品设计基于生态的规模化增长及生态各参与者的健康发展策略。
产品上市
•制定产品上架策略，实现产品上架。
•主导产品GTM材料编写，协助PdSA完成赋能、参与产品营销推广。
•标杆建设，负责新产品、新能力的新客户建设，沉淀为可复制材料。
•产品商机挖掘，负责产品的目标市场分析，商机盘点，输出情报。
产品持续改进
•关注客户对产品的使用，合理安排产品需求优先级，推动产品改进、新产品或功能孵化，提升产品易用性，优化产品稳定性、安全性、性能和成本。
产品信息架构设计（仅PD leader）
•规划官网产品线页面内容架构和品类动线，细化产品线产品内容标准、信息架构标准和内容规范。
•根据官网内容标准，建立产品线技术解决方案的整体信息架构，牵引各子产品官方PGC的生产和维护。
•推动各子产品PD，生产和维护高质量的产品线技术内容，面向开发者和决策者组织各子产品全面升级文档、详情页、技术解决方案等技术内容。
• 5年以上商业化AI应用产品经理经验，在至少一个行业有深度落地：金融、教育、电商、汽车、消费、制造、互联网等
• LLM、Agent相关产品研发或技术架构经验优先
• 多个小规模产品的市场、规划、设计、管理等生命周期管理相关经验
• 有负责过成功产品、项目的经验，管理的产品存续超过3年为加分项
• 深入理解业务运营及推动盈利增长的机制，放大成功机会和规避不利风险。
• 基于市场供需情况，测算客户商业化价值，以及产品固定和浮动成本，为产品商业化提供输入。
• 针对客户体验痛点，挖掘产品的体验优化空间，定义小规模产品的领域模型、产品架构，处理多产品、多角色间的关系。
• 针对客户完整链路，主导产品功能设计及持续迭代。
• 识别产品所处状态，合理运用资源，清晰定义产品推进过程中的关键里程碑，及时调整资源投入。
• 能洞察客户需求和痛点，提出产品改进建议，推动产品缺陷修复、功能完善、迭代升级。
• 理解技术原理，能参与产品设计过程中相关技术问题讨论，协调关键技术问题解决。
• 监督工程研发项目关键环节，及时识别潜在风险，做出相应管理动作，确保工程项目有序推进。"
